solvente_concentracion,porcentaje_viabiliadad_control_solvente
c_negativo_0,112.664
c_negativo_0,112.664
c_negativo_0,109.607
c_negativo_0,99.127
c_negativo_0,106.769
c_negativo_0,121.834
c_negativo_0,111.354
c_negativo_0,113.319
hexano_500,83.188
hexano_500,92.576
hexano_500,82.969
hexano_500,86.245
hexano_375,88.865
hexano_375,93.231
hexano_375,96.507
hexano_375,85.808
hexano_250,97.817
hexano_250,98.035
hexano_250,100.655
hexano_250,98.69
hexano_125,105.022
hexano_125,95.415
hexano_125,106.114
hexano_125,114.41
hexano_50,122.052
hexano_50,105.022
hexano_50,102.838
hexano_50,101.092
diclorometano_500,79.476
diclorometano_500,76.201
diclorometano_500,76.856
diclorometano_500,93.45
diclorometano_375,98.253
diclorometano_375,101.528
diclorometano_375,76.419
diclorometano_375,97.38
diclorometano_250,112.227
diclorometano_250,98.035
diclorometano_250,94.76
diclorometano_250,112.664
diclorometano_125,111.135
diclorometano_125,92.358
diclorometano_125,96.07
diclorometano_125,114.847
diclorometano_50,99.127
diclorometano_50,115.502
diclorometano_50,93.886
diclorometano_50,131.659
acetato_de_etilo_500,75.983
acetato_de_etilo_500,71.179
acetato_de_etilo_500,89.738
acetato_de_etilo_500,91.485
acetato_de_etilo_375,101.528
acetato_de_etilo_375,89.301
acetato_de_etilo_375,105.022
acetato_de_etilo_375,82.096
acetato_de_etilo_250,109.607
acetato_de_etilo_250,107.205
acetato_de_etilo_250,114.629
acetato_de_etilo_250,108.297
acetato_de_etilo_125,104.148
acetato_de_etilo_125,109.825
acetato_de_etilo_125,113.537
acetato_de_etilo_125,104.585
acetato_de_etilo_50,112.445
acetato_de_etilo_50,135.371
acetato_de_etilo_50,133.843
acetato_de_etilo_50,114.192
etanol_500,95.415
etanol_500,120.742
etanol_500,121.397
etanol_500,124.017
etanol_375,106.332
etanol_375,146.288
etanol_375,118.559
etanol_375,111.79
etanol_250,118.341
etanol_250,124.236
etanol_250,122.489
etanol_250,109.17
etanol_125,115.066
etanol_125,112.227
etanol_125,117.686
etanol_125,136.681
etanol_50,142.795
etanol_50,122.052
etanol_50,87.991
etanol_50,110.48
c_solvente_0,98.69
c_solvente_0,106.987
c_solvente_0,120.961
c_solvente_0,89.738
c_solvente_0,102.183
c_solvente_0,109.607
c_solvente_0,89.52
c_solvente_0,81.659
c_negativo_0,106.275
c_negativo_0,121.862
c_negativo_0,107.287
c_negativo_0,119.028
c_negativo_0,106.073
c_negativo_0,116.194
c_negativo_0,102.834
c_negativo_0,108.907
hexano_500,81.174
hexano_500,91.903
hexano_500,94.534
hexano_500,80.162
hexano_375,95.344
hexano_375,99.595
hexano_375,93.927
hexano_375,88.866
hexano_250,104.453
hexano_250,102.632
hexano_250,93.32
hexano_250,83.603
hexano_125,107.287
hexano_125,108.907
hexano_125,105.263
hexano_125,92.51
hexano_50,104.049
hexano_50,106.478
hexano_50,112.753
hexano_50,104.656
diclorometano_500,78.947
diclorometano_500,64.98
diclorometano_500,64.98
diclorometano_500,67.409
diclorometano_375,79.96
diclorometano_375,76.316
diclorometano_375,93.117
diclorometano_375,81.174
diclorometano_250,91.296
diclorometano_250,89.474
diclorometano_250,92.308
diclorometano_250,82.591
diclorometano_125,104.049
diclorometano_125,90.688
diclorometano_125,98.988
diclorometano_125,86.64
diclorometano_50,100.607
diclorometano_50,87.247
diclorometano_50,96.154
diclorometano_50,87.449
acetato_de_etilo_500,66.397
acetato_de_etilo_500,83.198
acetato_de_etilo_500,64.777
acetato_de_etilo_500,66.599
acetato_de_etilo_375,86.032
acetato_de_etilo_375,81.579
acetato_de_etilo_375,90.891
acetato_de_etilo_375,80.972
acetato_de_etilo_250,91.498
acetato_de_etilo_250,94.737
acetato_de_etilo_250,100.202
acetato_de_etilo_250,82.996
acetato_de_etilo_125,97.166
acetato_de_etilo_125,94.13
acetato_de_etilo_125,96.559
acetato_de_etilo_125,100.405
acetato_de_etilo_50,118.219
acetato_de_etilo_50,109.717
acetato_de_etilo_50,121.053
acetato_de_etilo_50,113.563
etanol_500,102.834
etanol_500,106.275
etanol_500,88.462
etanol_500,95.547
etanol_375,107.49
etanol_375,111.943
etanol_375,97.571
etanol_375,134.818
etanol_250,106.073
etanol_250,107.287
etanol_250,120.04
etanol_250,108.907
etanol_125,109.109
etanol_125,92.105
etanol_125,108.097
etanol_125,92.308
etanol_50,115.385
etanol_50,93.927
etanol_50,97.773
etanol_50,113.36
c_solvente_0,101.619
c_solvente_0,113.563
c_solvente_0,112.551
c_solvente_0,86.842
c_solvente_0,92.713
c_solvente_0,95.749
c_solvente_0,106.883
c_solvente_0,89.271
